nombre,tipo,detalle
Cebolla,verduleria,verdura
Cebolla morada,verduleria,verdura
Ajo,verduleria,verdura
Puerro,verduleria,verdura
Zanahoria,verduleria,verdura
Papa,verduleria,tuberculo
Batata,verduleria,tuberculo
Zapallo,verduleria,verdura
Zapallo anco,verduleria,verdura
Calabaza,verduleria,verdura
Morrón rojo,verduleria,verdura
Morrón verde,verduleria,verdura
Morrón amarillo,verduleria,verdura
Tomate,verduleria,verdura
Tomate perita,verduleria,verdura
Tomate cherry,verduleria,verdura
Pepino,verduleria,verdura
Lechuga,verduleria,verdura
Espinaca,verduleria,verdura
Acelga,verduleria,verdura
Brócoli,verduleria,verdura
Coliflor,verduleria,verdura
Berenjena,verduleria,verdura
Zucchini,verduleria,verdura
Choclo,verduleria,verdura
Apio,verduleria,verdura
Rábano,verduleria,verdura
Remolacha,verduleria,verdura
Repollo,verduleria,verdura
Repollo morado,verduleria,verdura
Perejil,verduleria,hierba_fresca
Cilantro,verduleria,hierba_fresca
Albahaca,verduleria,hierba_fresca
Orégano fresco,verduleria,hierba_fresca
Romero,verduleria,hierba_fresca
Tomillo,verduleria,hierba_fresca
Limón,verduleria,fruta
Naranja,verduleria,fruta
Mandarina,verduleria,fruta
Banana,verduleria,fruta
Manzana,verduleria,fruta
Pera,verduleria,fruta
Durazno,verduleria,fruta
Ciruela,verduleria,fruta
Frutilla,verduleria,fruta
Uva,verduleria,fruta
Arroz,almacen,cereal
Arroz integral,almacen,cereal
Fideos,almacen,cereal
Pastas secas,almacen,cereal
Avena,almacen,cereal
Harina 000,almacen,harina_blanca
Harina 0000,almacen,harina_blanca
Harina integral,almacen,harina_blanca
Maicena,almacen,cereal
Polvo de hornear,almacen,otro
Pan rallado,almacen,cereal
Lentejas,almacen,legumbre
Garbanzos,almacen,legumbre
Porotos negros,almacen,legumbre
Porotos colorados,almacen,legumbre
Porotos blancos,almacen,legumbre
Arvejas secas,almacen,legumbre
Aceite de girasol,almacen,aceite
Aceite de oliva,almacen,aceite
Vinagre,almacen,otro
Sal fina,almacen,otro
Sal gruesa,almacen,otro
Azúcar,almacen,azucar
Azúcar impalpable,almacen,azucar
Miel,almacen,otro
Levadura seca,almacen,otro
Levadura fresca,almacen,otro
Salsa de tomate,almacen,conserva
Tomate triturado,almacen,conserva
Extracto de tomate,almacen,conserva
Atún en lata,almacen,conserva
Choclo en lata,almacen,conserva
Arvejas en lata,almacen,conserva
Caldo en cubo,almacen,otro
Mostaza,almacen,otro
Mayonesa,almacen,otro
Ketchup,almacen,otro
Pimienta negra,almacen,especia
Pimienta blanca,almacen,especia
Pimentón dulce,almacen,especia
Pimentón ahumado,almacen,especia
Comino,almacen,especia
Ají molido,almacen,especia
Cúrcuma,almacen,especia
Canela,almacen,especia
Nuez moscada,almacen,especia
Laurel,almacen,especia
Orégano seco,almacen,especia
Chimichurri seco,almacen,especia
Carne picada,carniceria,carne_roja
Nalga,carniceria,carne_roja
Lomo,carniceria,carne_roja
Bife de chorizo,carniceria,carne_roja
Asado de tira,carniceria,carne_roja
Pollo entero,carniceria,ave
Pechuga de pollo,carniceria,ave
Muslo de pollo,carniceria,ave
Bondiola de cerdo,carniceria,cerdo
Costilla de cerdo,carniceria,cerdo
Chorizo,carniceria,achuras
Morcilla,carniceria,achuras
Merluza,pescaderia,pescado
Salmón,pescaderia,pescado
Atún fresco,pescaderia,pescado
Camarón,pescaderia,marisco
Pan francés,panaderia,pan
Pan de molde,panaderia,pan
Tortillas,panaderia,pan
Jamón,fiambrieria,fiambre
Queso cremoso,fiambrieria,queso
Queso rallado,fiambrieria,queso
Queso mozzarella,fiambrieria,queso
Salame,fiambrieria,embutido
